number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
6381		7		8					
6382		6		7					
6383		4		9					
6385		3		2					
6387		1		2					
6389		2		2					
6396		1		4					
6397		3		7					
6398		2		6					
6399		2		4					
6400		1		6					
6401		3		6					
6402		1		5					
6403		2		4					
6404		1		4					
6406		4		7					
6407		4		2					
6408		2		7					
6454		1		12					
6455		4		9					
6456		1		12					
6457		6		8					
6458		1		8					
6459		5		10					
6460		3		12					
6461		4		10					
6463		5		10					
6464		1		8					
6465		3		12					
6466		5		12					
6487		6		16					
6488		3		16					
6489		4		9					
6490		3		9					
6491		1		16					
6493		5		16					
6494		2		13					
6495		2		16					
6496		2		12					
6497		2		9					
6498		5		13					
6499		1		13					
6500		2		16					
6508		1		10					
6510		4		8					
6512		4		6					
6513		5		8					
6521		2		10					
6522		1		6					
6523		2		8					
6524		2		6					
6525		1		6					
6526		1		6					
6527		6		8					
6528		5		6					
6530		3		6					
6531		5		8					
6532		6		8					
6533		4		10					
6551		2		10					
6574		2		13					
6575		1		3					
6576		2		13					
6577		4		13					
6578		2		13					
6579		4		16					
6580		6		21					
6581		3		16					
6582		4		13					
6583		5		20					
6589		3		16					
6590		4		13					
6591		2		13					
6592		1		23					
6593		3		16					
6594		1		21					
6666		2		3					
6667		5		5					
6668		2		2					
6669		1		3					
6671		2		1					
6674		5		1					
6675		1		15					
6676		3		15					
6677		4		16					
6678		3		20					
6679		3		15					
6680		3		12					
6681		1		12					
6682		6		20					
6683		1		13					
6684		3		1					
6701		2		14					
6702		1		14					
6703		2		9					
6704		1		9					
6705		5		7					
6708		4		5					
6709		3		5					
6711		4		8					
6712		3		2					
6713		5		6					
6714		2		5					
6715		8		5					
6716		3		3					
6717		5		6					
6718		5		1					
6719		3		3					
6730		1		10					
6731		3		15					
6732		3		10					
6733		1		10					
6735		2		13					
6736		3		13					
6737		4		10					
6738		2		17					
6739		3		8					
6740		3		10					
6741		1		8					
6742		5		17					
6743		2		10					
6744		7		17					
6745		3		15					
6750		2		15					
6752		2		15					
6753		6		19					
6773		1		18					
6774		6		18					
6776		4		18					
6778		1		11					
6792		5		3					
6793		1		3					
6794		5		6					
6796		4		5					
6797		7		4					
6798		4		3					
6799		3		7					
6800		2		2					
6801		8		4					
6802		1		4					
6803		1		3					
6804		1		5					
6805		3		3					
6807		3		3					
6813		5		11					
6814		4		10					
6816		4		17					
6817		5		17					
6818		1		12					
6819		4		10					
6820		3		13					
6821		5		10					
6822		4		11					
6823		7		17					
6824		4		10					
6825		5		17					
6826		5		10					
6827		6		15					
6828		6		10					
6829		1		7					
6830		3		8					
6831		1		8					
6836		7		8					
6837		3		10					
6838		4		10					
6839		2		8					
6840		3		9					
6841		1		7					
6842		4		7					
6843		3		7					
6844		1		7					
6846		2		8					
6847		2		9					
6848		4		9					
6849		4		13					
6850		4		8					
6851		1		9					
6852		2		7					
6853		4		7					
6854		5		9					
6856		3		8					
6857		5		12					
6858		5		10					
6859		1		10					
6860		8		17					
6861		5		17					
6862		1		12					
6863		2		10					
6864		1		5					
6865		5		5					
6870		6		8					
6871		3		12					
6873		1		9					
6874		4		8					
6876		2		10					
6877		1		10					
6878		6		12					
6879		1		10					
6880		4		12					
6881		3		9					
6882		7		12					
6883		1		9					
6884		1		12					
6885		6		16					
6886		4		12					
6887		5		10					
6888		1		10					
6891		6		10					
6892		5		10					
6893		1		8					
6894		1		8					
6895		1		12					
6901		1		7					
6904		2		4					
6907		4		5					
6908		3		5					
6910		3		8					
6911		5		12					
6912		1		12					
6913		2		8					
6914		9		12					
6915		1		8					
6916		3		6					
6917		3		6					
6918		1		6					
6919		2		8					
6920		2		12					
6921		1		10					
6923		4		12					
6928		2		9					
6929		5		10					
6931		1		8					
6932		1		16					
6933		6		10					
6937		6		10					
6938		2		3					
6939		5		8					
6941		3		7					
6942		6		15					
6943		4		7					
6944		1		7					
6945		1		7					
6946		7		15					
6947		2		7					
6952		1		4					
6953		1		7					
6954		4		10					
6955		1		10					
6956		5		10					
6957		1		10					
6958		5		19					
6959		3		14					
6960		5		19					
6961		5		10					
6962		1		10					
6963		5		7					
6968		2		7					
6969		1		11					
6970		2		7					
6971		5		10					
6972		2		10					
6973		3		7					
6974		2		7					
6975		6		7					
6976		1		10					
6977		6		10					
6978		3		7					
6979		2		11					
6984		3		10					
6985		1		7					
6986		10		14					
6990		5		10					
6991		2		8					
6992		3		10					
6993		2		10					
6998		3		6					
7000		6		6					
7001		3		9					
7002		1		6					
7003		1		9					
7005		1		10					
7006		6		14					
7007		4		7					
7008		1		7					
7009		5		7					
7010		4		7					
7011		2		10					
7012		6		10					
7013		2		7					
7014		3		7					
7015		2		7					
7017		1		10					
7023		2		4					
7025		2		1					
7027		7		4					
7028		5		4					
7029		2		2					
7030		1		2					
7031		1		2					
7035		1		4					
7036		3		1					
7037		2		2					
7038		1		3					
7041		2		6					
7042		7		6					
7043		2		6					
7044		7		6					
7045		7		4					
7046		2		6					
7047		3		4					
7048		2		4					
7049		3		6					
7050		6		6					
7051		3		4					
7057		1		6					
7058		1		5					
7059		1		6					
7060		3		5					
7061		5		5					
7062		4		6					
7068		1		4					
7069		1		5					
7070		4		5					
7071		1		6					
7072		6		5					
7075		2		7					
7076		4		5					
7077		4		6					
7078		2		5					
7079		3		6					
7080		2		6					
7085		2		6					
7086		6		6					
7087		2		7					
7088		1		7					
7089		2		6					
7091		3		7					
7092		1		3					
7093		7		3					
7094		2		2					
7095		4		3					
7096		3		6					
7097		6		5					
7098		4		4					
7099		7		6					
7100		2		6					
7103		3		8					
7104		7		8					
7105		3		8					
7106		3		7					
7107		1		6					
7108		2		6					
7109		1		8					
7110		3		7					
7115		2		8					
7116		4		7					
7121		5		13					
7122		1		10					
7123		2		13					
7124		2		13					
7125		2		9					
7126		4		3					
7127		7		2					
7151		3		15					
7152		6		15					
7153		4		16					
7154		2		10					
7168		1		5					
7169		5		9					
7170		4		9					
7171		3		9					
7172		4		10					
7177		1		8					
7178		2		7					
7179		1		7					
7180		1		10					
7181		1		10					
7182		5		7					
7183		1		7					
7184		3		8					
7185		3		8					
7186		1		8					
7187		3		10					
7188		3		7					
7189		2		7					
7190		3		10					
7191		5		10					
7194		2		7					
7199		2		8					
7204		2		5					
7205		2		7					
7206		2		7					
7207		3		7					
7208		2		7					
7209		5		4					
7210		5		5					
7211		2		7					
7212		1		6					
7213		1		6					
7214		3		5					
7215		3		6					
7220		1		6					
7228		6		7					
7229		1		10					
7230		2		7					
7231		1		7					
7232		1		5					
7233		1		5					
7234		1		5					
7235		1		5					
7238		4		6					
7241		2		10					
7242		4		9					
7243		3		9					
7245		2		8					
7246		1		8					
7247		1		8					
7248		6		6					
7249		1		7					
7250		3		4					
7251		2		6					
7252		1		7					
7253		3		6					
7254		1		5					
7255		4		8					
7256		2		5					
7258		2		4					
7259		5		6					
7260		4		5					
7268		2		4					
7270		1		6					
7271		2		4					
7272		1		4					
7273		2		4					
7274		3		4					
7275		2		4					
7278		1		4					
7296		4		10					
7297		1		9					
7298		1		7					
7299		1		6					
7300		1		5					
7302		1		5					
7316		2		9					
7326		3		5					
7327		2		5					
7328		3		4					
7333		1		4					
7350		1		4					
7351		4		4					
7356		3		5					
7357		4		5					
7368		3		4					
7374		1		4					
7375		4		4					
7378		4		3					
7380		3		8					
7386		2		4					
7394		1		5					
7404		3		5					
7531		3		2					
7561		3		1					
7585		5		2					
7586		2		2					
7602		1		8					
7603		2		8					
7624		4		1					
7651		2		1					
7653		2		1					
7656		4		1					
7674		4		3					
7675		4		3					
7688		4		1					
7693		6		5					
7694		3		2					
7695		3		2					
