number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
1715		2		130	19	20	8	15	103
1716		1		120	17	3	6	23	100
1717		2		121	18	14	9	12	104
1718		2		159	38	11	8	23	133
1721		1		39		4		1	34
1722		2		31		5	7		33
1723		3		87	6	6	5	5	81
1725		5		169	35	12	4	18	138
1726		1		79	14	4	10	3	82
1727		1		48	2	4	2	2	44
1728		2		115	25	20	17	19	84
1729		2		159	13	6	4	10	143
1731		2		129	22	22	16	10	125
1732		2		141	23	7	2	12	120
1733		2		118	16	4	16	9	118
1734		1		160	3	2	2	5	148
1735		1		153	12	4	3	9	143
1736		2		91	47	11	23	32	71
1738		2		135	104	3	29	67	94
1740		1		101	7	6	5	11	89
1741		1		50	1	3	5	2	50
1742		1		14			2	2	14
1743		3		114	15	10	15	20	92
1744		2		128	28	11	20	38	90
1746		2		146	49	28	19	22	115
1747		1		152	4	19	9	4	138
1749		1		143	1			1	142
1750		3		101	3	3	9	5	102
1751		1		81	5	1	1	7	75
1752		4		187	18	7	3	8	175
1754		2		135	18	4	3	10	124
1755		1		47	4	1	1	3	44
1756		2		83	3	3	2	4	78
1757		3		129	9	3		8	119
1758		4		136	5	8	5	8	125
1759		4		123	2	3	2	3	119
1760		2		109	9	11	12	60	50
1761		4		111	3	17	19	3	110
1762		2		157	13	27	29	11	148
1765		1		148	11	18	14	11	135
1766		2		105	12	7	9	6	101
1767		1		13					13
1769		1		142	2	17	13	2	136
1770		1		171	29	16	6	13	148
1774		3		114	6	1	22	4	131
1775		1		83	3	4	11	3	87
1776		5		109	1	7	15	1	122
1777		3		102			8	1	109
1778		2		98		2	10		106
1779		2		126	4	2	30	5	149
1780		2		134	1	6	6	1	133
1781		2		83	1	5		1	77
1782		2		164	27	16	13	17	144
1783		3		170	33	7	11	16	158
1784		2		99	5	22	5	4	78
1785		1		113	13	12	13	12	102
1788		2		123	2	21	13		115
1789		1		126	9	8	3	10	111
1791		3		126		7	9		124
1794		3		118	2			2	116
1795		2		87	7		2	7	82
1797		3		113	2	2		8	103
1798		5		164	4	16	7	3	152
1799		2		135		7	8		135
1800		2		135	5	4	11	2	140
1802		1		142	6	9	12	4	141
1803		3		123	1	1	10	2	130
1804		4		95	2	13	4	2	84
1805		1		45	3	1	3	3	53
1806		4		145	46	24	24	18	130
1807		1		79	14	8	7	15	63
1808		3		132	7	8	4	7	119
1810		1		157	3	11	10	4	152
1811		2		53		3	12	2	60
