number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
1050		3		60		12	9	19	38
1051		3		95		14	8	24	65
1052		2		70		13	4	17	44
1053		1		38		15	5	3	25
1054		2		48		26	13	6	29
1055		1		34		22	6		18
1056		2		47		10	10	2	45
1057		1		102		55	13	8	52
1058		2		53		14	9	8	40
1059		1		50		25	1	1	25
1060		1		39		9	6	4	29
1061		1		16		8	3	5	6
1062		1		43		1	45	14	83
1063		3		73		4	1	20	50
1064		1		50		2	36	9	74
1065		3		68		4	10	3	71
1066		1		64	3	2	14	3	73
1068		2		64		3	5	10	61
1069		2		59		10	9	7	46
1070		1		72		26		3	43
1071		1		54		1	56	5	104
1073		1		79		3		15	61
1074		1		91		28		6	56
1075		1		73	3	4		3	66
1077		1					6		6
1078		1					8		8
1081		1		86		3		9	74
1082		1					8		8
1083		1		45		1			44
1084		1		62			1	2	61
1085		1					8		8
1087		1		91		1	1		91
1088		1		108		5		18	84
1093		1		65			1	2	64
1094		1		110			1	13	98
1096		2		96				8	88
1097		2		117		9	1	14	95
1098		1		42		1	3		44
1100		2		46		3	8	5	46
1101		6		114		3		18	93
1102		2	b	44		2		1	41
1104		2		127		1		5	118
1105		1		145		6	6	2	143
1106		2		81		5	2	10	68
1107		1		63		2	4	1	64
1108		1					3		3
1109		1		110			3		113
1111		2		103		1	4	1	105
1112		1		118		1	5	9	113
1113		2		74		15		10	49
1114		2		143		2	2		143
1115		3							79
1117		1		56		1		12	43
1122		2		64	3	4		3	57
1123		3		49		5	2	5	41
1124		1		138		18	2	22	100
1125		2		76		4	1	3	70
1126		3		72		5	5	8	64
1127		4		175		11		18	146
1128		2		86				8	79
1131		1		110		2	4	10	102
1133		1		45		1	2	12	34
1134		1		48	2	4	2	2	44
1135		2		132		12	4	39	85
1136		6		162		14	16	21	143
1140		1		61		2	6	4	61
1141		1		120		10	7	21	96
1142		1		97			7	4	100
1143		1		119		17		26	76
1146		2		71		4	11	22	56
1148		1		32	2	1		2	29
1150		2		64				4	60
1151		2		77	9	1		9	67
1152		3		47					47
1153		2		96		25		3	68
1157		3		126		5	5	12	114
1159		2		83		4	5	18	66
1160		2		85			12	5	92
1161		2		101		14	9	16	80
1162		1		44		9	2		37
1163		3		108				27	81
1164		2		85		10		1	74
1165		3		81		1		5	75
1166		3		70		5	14	2	77
1167		2		63		4	7		66
1169		1		30		9	4		25
1170		2		65	1	31	1	1	34
1171		2		40		17	4		27
1173		2		70	1	17	2	1	54
1174		1		36	1	15		1	20
1176		2		65		30		4	31
1178		2		61		24		1	36
1179		1		30		13			17
1180		1		18	1		3	1	18
1181		1		36					34
1182		3		45		32		2	11
1183		2		59		15	1	3	22
1184		2		95		36	3	2	60
1185		2		36		11		4	21
1186		1		89		25		1	63
1187		2		84		35		2	47
1189		3		63			1	3	61
1190		3		83				7	76
1192		1		42		1	1	1	42
1193		2		44		6	6	3	41
1194		2		137		1	1	17	120
1195		3		53				13	40
1197		2		58		7	8	6	53
1200		3		87		7	3	2	81
1201		3		65		7	8	3	63
1202		1					2		2
1203		2		30				4	26
1205		3		77		8	7	3	73
1206		7		87		7	6	11	75
1207		2		59		17	11	6	47
1208		1		83		1		1	81
1209		1		23				2	21
1210		1		83		44	6		45
1211		2		38		3	1	2	34
1214		5		110		8	1	6	97
1215		3		109		3	15	34	87
1216		2		31		3		3	25
1217		1					7		7
1219		1				44	54	4	6
1220		4		86		17		15	54
1221		2		69		3	1	10	57
1225		2		29		26	14		17
1226		4		120		85	17	20	33
1227		3		87		48	11	11	39
1229		3		101		68	7	9	31
1230		1		87		40	4	10	41
1231		1		87		16	17	21	60
1233		1		95		31	28	9	83
1235		2		28		12	12	1	27
1236		1		97		34	35	31	67
1239		2		32		10	10	3	29
1242		2		25				5	20
1244		3		80		18	17	24	55
1245		4		53		10	3	12	34
1246		2		3					3
1247		3		106		18	10	47	51
1249		3		93		23	23	4	88
1250		1		61		17	14	16	42
1253		3		81		2		37	42
1254		2		115		13	6	19	89
1255		1		97		1	4	6	93
1256		3		117		23	8	13	89
1260		1		109		13	4	9	90
1261		1		94		14	9	10	79
1267		1		111		3	2	16	94
1270		1		120		43		7	70
1271		1		102		9	53	75	71
1274		1		119		1		13	104
1275		1		46					46
1277		1		113		15	12	13	97
1279		2		35		4	3	1	33
1284		1		110		9	7	14	94
1285		1		95		9	5	16	75
1286		1		66		4	4		61
1287		3		40		2	2	4	36
1288		1		40		2		1	37
1289		1		81		3	6	5	79
1290		1		78		7			71
1291		3		123		6	13	3	75
1292		3		74		2	22	3	91
1293		1		62		2	8	1	67
1294		1		92		2	2	7	85
1295		4		121		12	8	1	116
1297		1		51		2	2	2	49
1314		2		98		6	4	18	78
1315		4		103		3	2	4	97
1317		4		91		5		4	82
1318		4		101		2	7		106
1319		4		90		13	11	9	79
1320		2		112		2	1	8	103
1322		1		8			2		10
1324		1			1			1	
1325		1		98		10	23	10	101
1326		4		102		9	19	12	100
1327		2							39
1329		4							80
1330		1					1		1
1331		2		102		4	4	5	97
1332		2		93		25		7	61
1333		4		34		6			28
1334		1		31		2	1	1	29
1335		2							85
1336		2		46		1	8	3	50
1340		2							112
1341		2		114				34	77
1342		4		40				8	28
1343		2		69		13	1	16	41
1345		2		97		15	4		86
1346		2		67		11		4	52
1347		1		22		1	1	1	20
1348		1		56				2	53
1349		1		59					59
1350		1		43		2	2		43
1352		4		124		1	1	11	113
1353		4		45		1	2	1	45
1354		1		110		7	24	5	122
1355		1		106	16	3	5	16	92
