number	number_sup	trip	trip_sup	invoice	chamber 
5450		1		323848	R
5451		1		191940	R
5452		1		146872	D
5453		2		466158	E
5454		7		258198	A
5455		7		348790	Z
5456		3		407049	A
5457		9		361517	H
5458		5		302194	A
5459		1		175078	A
5460		7		345477	Z
5461		2		283462	A
5462		2		233025	A
5463		8		221572	E
5464		3		202700	D
5465		8		232134	Z
5466		1		117854	Z
5467		8		213762	H
5468		1		142837	R
5469		1		54670	A
5471		2		276427	E
5472		3		221080	D
5473		2		696375	A
5474		2		247720	R
5475		4		308208	A
5476		6		370317	A
5477		7		264336	H
5478		4		493167	Z
5479		1		198502	Z
5480		1		27719	A
5481		1		91409	A
5482		3		325980	A
5483		3		353729	A
5484		8		291879	A
5485		1		169188	R
5486		1		213007	H
5487		8		283223	Z
5488		8		278431	Z
5489		1		68536	A
5490		1		149818	A
5491		3		475060	A
5492		3		520566	A
5493		3		439431	E
5494		1		501844	A
5495		4		371968	D
5496		7		406556	Z
5497		5		412482	Z
5498		1		83319	A
5499		1		143203	A
5500		1		62881	A
5501		4		448518	A
5502		4		486708	A
5503		3		333980	R
5504		1		221880	A
5505		5		429012	A
5506		1		400719	H
5507		1		442481	Z
5508		9		387072	Z
5509		1		2300	A
5510		1		81761	A
5511		1		92769	A
5512		2		182731	Z
5513		4		255106	D
5514		1		256151	A
5515		2		371244	A
5516		2		222838	E
5517		9		340496	Z
5518		1		248214	A
5519		2		156240	Z
5520		1		254559	A
5521		1		64899	A
5522		1		74045	A
5523		1		282780	A
5524		1		296773	A
5525		1		272087	Z
5526		4		386123	R
5527		1		300465	A
5528		1		293688	A
5529		2		300246	Z
5530		5		297326	A
5531		2		438408	H
5532		2		346965	Z
5533		1		288401	A
5534		1		67973	A
5535		1		77252	A
5536		2		206354	Z
5537		2		388946	A
5538		1		110760	Z
5539		1		72499	E
5540		2		138867	A
5541		1		88721	D
5542		2		118033	A
5543		1		123270	H
5544		1		126912	Z
5545		1		212664	A
5546		5		381120	A
5547		5		367680	A
5548		1		266546	R
