number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
1248		1		21	1				
1251		1		22					
1252		1		20	2				
1257		3		300					
1258		3		192	15				
1259		2		160	6				
1262		2		21					
1263		1		11					
1264		2		150					
1265		1		22					
1266		2		20					
1272		1		80					
1278		1		200					
1280		2		20					
1281		3		180					
1315		4		238	10				
1323		2		27	1				
1338		3		20	1				
1351		4		252					
1371		1		36	3				
1374		1		38					38
1377		2		275	10				
1389		3		260					
1392		1		36					
1405		1		45					
1406		1		82	4				
1421		5		317	26				
1428		1		15	1				
1446		1		111	2				
1448		2		100	3				
1469		1		166	4	24			
1471		2		75	1				
1472		1		22					
1475		3		99	9				
1485		1		36		1			
1491		2		150	3	2			
1494		2		166	2				
1501		1		80	3				
1506		2		150	3				
1510		1		20					
1513		2		250					
1524		1		20					
1531		2		200					
1532		1		26					
1534		3		80					
1541		1		13					
1549		1		150					
1559		2		150					
1565		1		25					
1566		1		24					
1567		3		100					
1572		1		150	1				
1575		1		150	12				
1578		2		250	24				
1588		1			1				
1602		1		130	14				
1605		1		40	6				
1607		1		250	41				
1610		2		150	13				
1628		1		20					
1629		1		300	19				
1632		1		80					
1633		1		50	1				
1634		1		75	3				
1636		1		80	5				
1638		2		200	40				
1639		3		225	33				
1640		1		10					
1641		1		50	2				
1647		1		10					
1651		1		10	1				
1656		2		175	11				
1658		1		75	2				
1661		4		250	5				
1663		2		200	15				
1665		1		190					
1666		1		10					
1669		1		21					
1671		5		325	9				
1679		1		24	1				
1680		1		100	15				
1687		2		250	32				
1700		2		225	7			7	
1708		1		75					
1709		4		14					
1719		4		175	20	68			
1720		1		75	8				
1724		1		225	29	96			
1730		1		80	9				
1737		1		40	3				
1739		3		150	6				
1745		2		300					
1753		3		150	8	26			
1763		1		150	1	1		1	
1764		2		150					
1768		1		75					
1771		1		275					
1772		1		50					
1773		2		175	15	23			
1786		3		175	5	29			
1787		1		75					
1790		4		157	1				
1792		2		200	2	3			
1793		3		125	1				
1796		2		25					
1801		3		50	1				
1809		5		200	21	34			
1812		4		174	1				
1817		1		200	6	12			
1837		1		14		2			
1841		2		75	1				
1847		5		175	4	12			
1853		5		125	5	8			
1869		4		200					
1872		1		14					
1877		2		200	5	2			
1893		1		24					
1895		1		100	2				
1897		1		24					
1905		2		102		9	2		95
1909		6		200	11				
1914		3		200	4	43			
1926		1		14		1	1		14
1931		1		150					
1940		1		16					
1947		5		200	6				
1960		1		105	3				
1962		3		125	3				
1975		5		200	4				
1982		6			6				
1990		4		200					
1992		1		200					
2006		5		200					
2009		1		175	3				
2025		5		200	6				
2032		3		200	22				
2035		1		100					
2036		1		25	3				
2037		1		15	1				
2043		1		200					
2045		3		225	7				
2048		2		150	20				
2077		1		225	22				
2080		2		150	43				
2095		3		250	16				
2100		2		163	3				
2113		1		55					
2121		1		90					
2122		2		225	3				
2123		1		225	3				
2124		2		125	5				
2129		4		225	14				
2133		1		150					
2135		1		225					
2147		3		286	112	22			
2148		1		25					
2149		1		100	7				
2151		5		300					
2153		1		115					
2158		2		225	4				
2179		5		200	4				
2186		3		150					
2192		4		80	3				
2197		4		200	11				
2199		5		150	5				
2208		3		175					
2233		1		175					
2242		3		175	8				
2268		1		175	1				
2285		5		150	3				
2295		2		200					
2305		4		200	7				
2349		1		250					
2372		3		250					
2374		1		250	34				
2380		1		180	4				
2403		3		180	3				
2409		3		250	18				
2411		2		250					
2413		1		27					
2414		1		27					
2430		1		27	1				
2442		6		300					
2448		2		250	17				
2455		3		250	43				
2461		1		300	55				
2464		2		180	8				
2467		1		300	11				
2468		1		71	2				
2469		3		150	2				
2472		1		250	4				
2475		2		150	8				
2476		2		250	7				
2477		1		250					
2479		2		225	6				
2483		1		150	12				
2484		5		150					
2485		2		150	7				
2487		4		275	34				
2488		2		275	35				
2489		3		225	2				
2490		4		150	8				
2492		1		50	3				
2494		3		225	3				
2495		6		225	5				
2520		7		225	3				
2534		1		31					
2543		6		150	19				
2545		1		150	50				
2547		2		29					
2551		3		225	4				
2552		6		275					
2553		2		150					
2554		4		225	8				
2555		1		225	1				
2556		1		150	2				
2557		3		225	1				
2558		2		275	11				
2563		1		225	3				
2564		1		150	3				
2566		8		275					
2569		2		225	2				
2575		2		150	4				
2597		1		130	4				
2600		1		250					
2605		1		30					
2606		3		130	17				
2607		2		200	4				
2608		1		30	1				
2609		1		200					
2612		3		130	23				
2619		1		60	1				
2620		5		130	1				
2621		5		130	12				
2622		1		200	16				
2623		2		200	7				
2624		2		200	28				
2630		2		200					
2645		5		200	6				
2647		2		200	2				
2680		1		208	28	24	22	126	82
2686		2		200	11				
2697		5		250	16				
2709		5		180					
2722		5		180	11				
2724		3		180	7				
2726		3		180	2				
2727		1		180	11				
2728		1		120	4				
2729		3		220					
2755		1		85	1				
2760		4		180	14				
2765		2		130	4				
2782		1		85					
2783		1		90	4				
2796		2		200	11				
2797		3		200	9				
2818		2		85	2				
2822		1		100					
2823		4		100					
2830		1		240	13				
2837		2		180	4				
2838		1		180	4				
2840		5		240	47				
2862		1		100					
2863		1		100	3				
2865		2		100					
2877		3		225					
2878		1		225	67				
2881		4		190	24				
2882		5		150	59				
2895		2		100	1				
2896		1		100					
2897		5		100	2				
2898		5		150					
2903		2		100					
2904		2		225	18				
2908		2		225	6				
2918		8		150	32				
