number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
1415		3					3		3
1416		5		4					4
1417		1		6		1			5
1420		4		9		1		2	8
1426		3		2		2			
1427		2		3		3	25		25
1429		1					10		10
1431		4		4				1	3
1432		1		6			15		21
1433		3		12		12	2		2
1434		4		11			2		13
1437		6		3		3	1		1
1438		1		5					5
1439		1		2					2
1440		1		9				2	7
1443		5		3					3
1444		6		2					2
1445		1		5					5
1447		3		16					16
1450		4		5		2			3
1454		2		1			1		2
1455		3		5		3			2
1456		1		2					2
1462		1		4					4
1463		1		1					1
1464		1		2					2
1466		1		8					8
1469		1		2					2
1474		1		18		17			1
1476		3					5		5
1478		5		2					2
1479		3		9					9
1480		2		1					1
1481		1		2					2
1482		2		10			1		11
1483		1		1					1
1485		3		4					4
1487		1		6					6
1488		2		7			5		15
1492		1		7		6			1
1495		2		4					4
1496		1		4					4
1498		1		6			1		7
1499		4		11					11
1500		1		5		1			4
1502		6		5		5	5		5
1504		1		5					5
1505		5		4		3			1
1507		2		11		11			
1509		1		14					14
1511		2		6					6
1512		1					2		2
1514		1					3		3
1515		2		3		3	6		6
1516		1		2		2			
1517		2		2		2			
1519		7		13		2			11
1521		2					30		30
1522		1		2					2
1523		4		9		8	2		3
1525		1		3		2	7		8
1529		1		9		4			5
1530		2		11					11
1533		3		9					9
1535		3		4			2	1	5
1536		1		9		2			7
1537		1		16		4			12
1538		6					1		1
1539		1		5		1	5	1	8
1540		1		5					5
1542		2		1			2		3
1543		2		10		4		2	4
1544		1		5					5
1545		2		2					2
1546		1		8		1	3		10
1547		4		9					9
1551		2		10		8			2
1552		1		3					3
1553		2		32		22			10
1554		1		6		5		1	
1555		1		2			2		4
1556		3		22		11	14	3	18
1557		2		33		29	16	1	19
1558		2		29		27	3	1	4
1560		4		38		29		8	1
1561		2		35		33		1	1
1562		2		13		4		2	6
1563		3		7		7			
1564		6		43		27	1	12	5
1573		1		4			24	1	27
1574		4		4		3	21	2	20
1576		2					20		20
1579		5		12		7			5
1580		3		14		2			12
1581		2		8					8
1582		2		10			1	2	9
1583		3		7					7
1584		1		1				1	
1585		1		9		1		3	5
1589		1					6		6
1590		2		1			10	1	10
1591		1		6		6	1		1
1592		4		6		2	1	2	3
1595		1		3			9		12
1596		3		2		2	1		1
1597		5		10				1	9
1598		2		6		1		1	4
1599		2		9		5	2	1	4
1601		3		3					3
1606		3		8		7	1		2
1609		2		4		4			
1611		5		7					7
1612		3		1					1
1613		3		8		1		1	6
1614		1		4		2	6		8
1615		2		1					1
1616		3		6		3	3		6
1617		2		4				3	1
1618		2		10		2	1	1	8
1619		2		5				1	4
1620		3		7					7
1621		3		9				5	5
1622		5		7					7
1623		1		1					1
1624		2		16				5	11
1625		2		6					6
1627		4					1		1
1630		1		1					1
1631		1		6			3	1	8
1635		1		6		1	3		8
1637		1		7		2		1	4
1642		2		8			1	1	8
1643		4		12		3	3	2	11
1644		1		12		1			11
1645		1		1					1
1648		1		5		1	1	1	5
1649		5		16		2			13
1650		1		2			5	1	6
1652		5		3		3	3		3
1655		1		7		7			
1657		1		5		3			2
1659		2		1			1		2
1662		1		2			6		8
1664		1		7		1		2	4
1667		1		8					8
1668		1		9		1	5	2	12
1670		2		3		3	10		10
1672		3		3					3
1673		4		5		1	3		7
1674		3		7		7			
1676		3					3		3
1677		1		3		1	1		3
1678		1		7					7
1681		1					3		3
1682		2					2		2
1683		1		1			2		3
1684		2		3			2	2	3
1685		4		2					2
1686		4					1		1
1688		3		3		1		1	1
1689		3		5				1	4
1691		1		3					3
1692		3					3		3
1693		4		4		4			
1695		2		4				1	3
1697		1		3			2		5
1702		1					1		1
1705		1					1		1
1712		2		7		2	1		6
1713		2		1					1
1715		2		5		3	1		3
1718		2		9		4	2	3	5
1723		3					6		6
1725		5		4		1	1		4
1726		1		5		2			3
1729		2		10					10
1731		2		4		1			3
1732		2		1					1
1735		1		1					1
1738		2		10		5	2	5	2
1740		1					3		3
1743		3		5					5
1744		2		4					4
1746		2		13		8			5
1749		1		1					1
1750		3		4				1	3
1751		1					5		5
1754		2		6		3		1	3
1757		3		13		7	1	1	6
1758		4		5					5
1759		4		4					4
1760		2					7		7
1761		4		12		7		1	4
1762		2		21		6	1		16
1765		1		2			5		7
1770		1		7			7	1	13
1774		3		5		1	5		9
1775		1		8		8			
1776		5		6					6
1777		3		5		5	1		1
1778		2					2		2
1779		2		19				1	18
1780		2		3		1	12		14
1781		2		1					1
1782		2		21		20		1	
1783		3		27		17	2	2	10
1784		2		5		2	4		7
1785		1		6					
1789		1		3			2		5
1791		3		5					4
1794		3		13					13
1797		3		2		1			1
1798		5		13		2	2		13
1799		2		10		3	1		8
1800		2		11		9			2
1802		1		14		9	2	1	6
1803		3		5		2			3
1804		4		4		4			
1805		1		2		1			1
1806		4		5		1			4
1807		1		4		3			1
1808		3		11		5			6
1810		1		14		3	1		12
1811		2		2		1			1
1813		1		8					8
1814		2		2			1		3
1816		1					7		7
1818		2		3					3
1819		3		14		7	2		10
1820		1		2		2	1		1
1835		4		13		14	1		
1836		3		12		12			
1838		3		13		8			5
1839		1		4		3	1		2
1840		4		13		8			5
1842		1		7		3	4		8
1843		2		1					1
1844		1		15		9	1		7
1845		3		5		1			4
1846		3		13		1		1	11
1848		1		2					4
1849		3		5			1		6
1850		5		4					4
1851		4		6		1	3		9
1852		4		1			3		4
1854		3		1					1
1855		1		10		1	1		10
1856		2		5					5
1857		4		7		5			2
1858		5		6					6
1859		3		3		1			2
1860		5		7		1			6
1861		3		1					1
1862		4		7				1	6
1863		6		8		3			5
1864		3		3					3
1865		2		2					2
1866		1		7		7			
1867		1		3			5		8
1868		2		9		4	3		8
1870		2		1					1
1871		4					4		4
1873		2		2					2
1874		3		1					1
1875		2		4		1	1		4
1878		1					2		2
1879		4		6		2			4
1880		2		3		1	2		5
1881		4		8			1		9
1882		3		1			1		2
1883		4		10		1			9
1884		1		6			1		7
1886		1		10		8			2
1887		4		6		6			
1888		3					2		2
1889		3		8					8
1891		4					8		8
1894		1					6		6
1896		1		3					3
1899		4		17		6	4		15
1900		1		8		8			
1901		1		3		1	3		5
1902		3		1					1
1904		5		2					2
1906		2		2					2
1907		4		2					2
1908		1		3		1	5		7
1910		3		3					3
1911		2					1		1
1916		5		6	1	1		1	5
1917		2		4			1		5
1918		6		1		1			
1919		4		14		7	1		8
1921		5		16		2			14
1923		6		2		2			
1924		1		4				1	3
1925		4		1					1
1928		1		9		7		2	
1929		1		1					1
1930		3		2					2
1932		3		1					1
1934		3					1		1
1935		4		3			1		4
1939		3		1			1		2
1942		4					5		5
1943		3		1		1			
1945		1					3		3
1946		3		16		16	42		42
1948		3		2			2		4
1949		5		5			18		24
1952		1		1					1
1953		5		6		4			3
1954		1		2		2			
1955		1		12		2	4		14
1959		1		2		1			1
1963		1					6		6
1964		2		4		1			3
1965		3		1					1
1966		4		13		6			11
1967		3		4					4
1970		2		4		2			2
1971		5		10	1	4		1	3
1972		2		2					2
1973		3					5		5
1974		1		1			5		6
1976		6					1		1
1977		4		19		2			17
1979		4		4					4
1980		5		1					1
1983		1		3		2	1		2
1984		1		5		3	1		3
1986		1		6		4			2
1988		5		5					5
1989		2					2		2
1991		2		1			2		3
1993		4		9		1			8
1994		4		1					1
1995		1		3			1	1	3
1997		4					2		2
1998		2					5		5
1999		1		1			6		7
2000		1		3		1	3		5
2001		6		10			1	2	5
2002		3		1					1
2004		4		1		1			
2005		2		1			1		2
2008		2		1					1
2010		4		2			1		3
2011		1		5		5			
2012		5		4		2	2		4
2014		5		2					2
2015		2		2			3		5
2016		4		1					1
2017		1		2					2
2018		1		8		4			4
2019		1		1					1
2020		2		4		1			3
2022		2		9				1	8
2026		2		5					5
2028		3		1					1
2030		5		5			5		9
2031		4		4		3	2		3
2034		5					14		14
2038		1		4					4
2040		5					82		82
2041		1		2					2
2044		1					2		2
2046		3					67		67
2052		6		2					2
2053		2		1					
2055		3		2					2
2058		5		1			3		4
2059		4		9					9
2060		2		2			3		5
