number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
2815		5		7		2			5
2816		2		1					1
2817		1		3					2
2819		1		5		1			4
2820		1		12		1		2	9
2821		6		3					3
2824		4		3					3
2825		3		15		1	1		15
2826		5		13		3	1	1	10
2827		4		4				1	3
2828		7		3					3
2829		6		6				1	5
2831		7		6				1	5
2832		5		13		2	1	2	10
2833		5		10					10
2835		3		2		1			1
2836		6		8		1	1		8
2839		3		2			2	1	3
2841		5		7		2	2	3	4
2842		6		7				7	
2843		7		3			1	3	1
2844		6		11		2			9
2845		5		13		3		3	7
2846		3		3			1		3
2847		1		6				1	5
2848		3		4					4
2849		1		8		2		1	5
2850		5		5		1			4
2851		2		3					3
2852		1		5					5
2853		3		7		1	2		8
2854		5		16		6		1	9
2855		4		4					
2856		1		6		1			5
2857		3		1					1
2858		4		3		1		1	1
2859		4		18		1			17
2860		5		12		5		1	6
2861		1		11		2		1	8
2864		2		5					5
2866		2		5				1	4
2867		4		10		1	1	1	9
2868		9		5		1	1	1	4
2869		6		1					1
2870		6		6		2			4
2871		8		4		1	2	2	3
2872		3		13		5	3	4	7
2873		5		9					9
2874		2		6					6
2875		6		6		1		3	2
2876		1		5				1	4
2879		8		5				2	3
2880		1		5					5
2883		3		10		4		4	2
2884		1		1			1		2
2885		1		6			1	1	6
2886		4		5					5
2887		5		4					4
2888		3		1			1		2
2890		2		8				1	7
2891		5		15				1	14
2892		1		2					2
2893		8		4					4
2894		1		9				1	8
2899		1		7			1		8
2900		6		19		7	1	1	12
2901		6		11			2	1	12
2902		1					1		1
2905		4		3		1	1		3
2906		7		6				1	5
2907		5		19		10	1	4	6
2909		7		4					4
2910		1		4				1	3
2911		6		8				2	6
2912		7		21		5	5	10	11
2913		4		8					8
2914		5		7				1	6
2915		2		19		3	3	3	16
2916		5		2					1
2919		1		2		1	5	1	5
2921		1		1			1		2
2923		5		7		1	1		7
2924		6		3			1	1	3
2925		1		9		1		3	5
2926		3		12		2		4	6
2927		3		7				1	6
2928		2		22		3		1	18
2929		3		7					7
2930		1		9			1	2	8
2931		2		7				1	6
2932		1		3					2
2933		2		5					5
2934		1		15					11
2936		5		1					1
2938		9		6			2		8
2939		5		9			1		10
2941		1		7				2	5
2942		2		7			1	2	6
2944		4		13		2		2	9
2945		5		3					3
2946		2		2					2
2948		4		4					4
2949		5		2			2	1	3
2950		1		11		3	1	2	7
2951		3		6				2	4
2952		7		9				2	7
2953		2		4		1	1	2	2
2954		3		14		1		5	8
2955		3		4				1	3
2956		5		5					5
2957		5		13		1		2	10
2958		1		5			1	1	5
2959		4		11		4			7
2960		1		1					1
2961		6		10		5	2	2	5
2962		6		4				2	2
2963		4		14					14
2964		1		4					4
2965		2		5					5
2966		1		5		1			4
2967		1		10					10
2968		1		9				1	8
2969		1		1					1
2970		8		10					10
2971		2		19		1			18
2972		2		21		3		4	14
2973		7		20				3	17
2976		3		8		1	5	2	10
2979		6		9		1		1	7
2980		2		7					7
2981		4		13		4		2	7
2982		2		5		1			4
2984		3		13			1		14
2985		2		11				2	9
2986		5		16			1	3	14
2987		7		6				3	3
2988		6		14		2	4	3	15
2991		5		11		1		1	10
2992		1		11				1	10
2993		1		6		1		1	4
2994		1		9		1		3	5
2995		5		3		1			2
2996		3		4		1			3
2997		1		8				2	6
2998		1		20		7	4	8	9
2999		6		8		2			6
3000		3		12		3	3		12
3001		1		14		2	2	2	12
3002		2		4					4
3003		3		18		3		3	12
3004		1		12					11
3005		2		16		2			14
3006		5		11					11
3007		4		20					20
3009		2		4					4
3010		10		30		1		3	26
3011		2		15		2			11
3013		3		14			3	1	7
3014		7		3					3
3015		2		21					21
3017		2		19				1	18
3018		1		11		2	1	4	6
3022		6		2			3		5
3023		2		13		1		3	9
3024		1		14		2	1	3	10
3025		4		22		2			20
3026		4		8		1			7
3028		5		8					8
3029		6		6				1	5
3030		4		8		1		2	5
3031		3		14		1		2	7
3032		1		11		2	5	5	9
3033		3		5		1			4
3034		1		6		1			5
3035		5		13		1	1	2	11
3036		4		18				1	17
3037		4		11		1	1	2	9
3038		1		23				2	21
3039		1		4		1		2	1
3040		1		10			2		12
3041		1		14					14
3042		2		6		1			5
3043		7		20	7		3	7	16
3044		1		9		1	2	1	9
3045		6		14		4	1	1	10
3046		2		14		4	3	5	8
3047		1		13					13
3048		2		16		1		3	12
3050		4		6		1			5
3051		2		10	1			1	9
3052		7		8		1	1	2	6
3053		4		4	2	1		2	1
3055		4		5		1		1	3
3056		1		13		3	2	4	7
3057		2		6				4	2
3058		1		6				2	4
3059		3		5					5
3060		5		9		2		1	6
3061		2		13	2	2		2	9
3062		1		8		3			6
3063		3		21		2			19
3064		8		12		2		1	9
3065		6		5			2	3	4
3066		1		10					10
3067		2		8		1			7
3068		2		9		1	8	4	12
3069		1		17	9	4	4	10	7
3070		2		11					11
3072		1		10			2	5	7
3073		3		13		2			11
3074		3		6			4	2	8
3075		1		14		1	2	1	14
3076		2		14		2		2	10
3077		1		10				2	8
3078		6		11		1		1	9
3079		5		10				3	7
3080		6		1					1
3081		6		10		1		3	6
3083		7		15				3	12
3084		3		14	1	1		1	12
3085		3		10				1	9
3086		1		10		1		2	6
3087		1		11			2	2	11
3088		2		7			3	3	7
3089		1		12				2	10
3090		1					2		2
3091		7		8				1	7
3092		3		8		1	6	11	2
3094		2		6					6
3096		2		6					5
3097		3		10		1		4	5
3098		2		4					12
3099		2		5		1			4
3100		1		4		1		1	2
3101		11		8		2		1	5
3102		7		11		1		6	4
3103		2		7				2	5
3104		4		8		1	1	2	6
3105		1		9	1			1	8
3106		2		2					1
3107		3		9		2		4	3
